grid_id,latitude,longitude,building_count,yellow_building_count,building_density,yellow_building_density,total_building_density,main_road_density,local_road_density,total_road_density,waterbody,water_percent,empty,building_density_norm,yellow_building_density_norm,total_building_density_norm,local_road_density_norm,total_road_density_norm,empty_norm,water_percent_norm,grid_score_raw,grid_score,grid_segment,grid_score_pca,grid_score_entropy,kmeans_cluster,grid_segment_kmeans
15021,28.5109225,76.8914018,5,0,1.98,0.0,1.98,0.49,8.23,8.72,1,0.92,88.38,0.03914474659707601,0.0,0.03285216525634645,0.4066004644039327,0.31286439552948353,0.8454201392815095,1.0,-0.09483732131618323,10.04,bad,15.95,4.54,0,bad
42516,28.7175341,77.1472879,0,0,0.0,0.0,0.0,0.04,7.11,7.15,0,0.0,92.85,0.0,0.0,0.0,0.35126722987994674,0.2565344527563999,0.9048841648763161,0.0,-0.024971609367819614,17.01,bad,11.88,2.44,0,bad
28524,28.6115334,77.2496423,19,0,1.26,0.0,1.26,2.73,2.81,5.54,1,1.04,92.16,0.02491029328904837,0.0,0.02090592334494774,0.13882713304678626,0.1987693522056581,0.8957051542140305,1.0,-0.15048981219734536,4.48,bad,8.12,2.87,0,bad
15148,28.5109225,77.1513821,13,0,5.42,0.0,5.42,0.0,6.61,6.61,0,0.0,87.97,0.10715380129098584,0.0,0.08992865438858472,0.32656489303888153,0.23715982275801445,0.8399659445401514,0.0,0.01262744640132274,20.77,bad,15.7,3.84,0,bad
13546,28.4983462,77.2823957,46,10,13.3,2.11,15.41,0.17,8.68,8.85,0,0.0,75.74000000000001,0.2629419847177328,0.1213689962611447,0.2556827609092418,0.42883256756089133,0.3175286583068726,0.6772713062796406,0.0,0.14018865857021406,33.5,neutral,28.52,7.81,0,bad
5148,28.4354644,77.1431937,82,1,25.9,0.29,26.19,0.15,11.46,11.61,0,0.0,62.2,0.5120449176082165,0.01668104687949382,0.434544549527128,0.5661775603972137,0.4165545449652871,0.49714985067479034,0.0,0.23250937465898244,42.72,neutral,41.92,11.59,1,good
17745,28.5306854,77.1083932,24,0,21.3,0.0,21.3,0.21,10.29,10.5,0,0.0,68.2,0.421102577029151,0.0,0.3534096565455451,0.5083740921891211,0.3767289166352726,0.5769673346946649,0.0,0.17801243610250758,37.28,neutral,35.72,9.73,0,bad
33339,28.6492624,76.8750251,0,4,0.0,0.0,0.0,0.33,6.2,6.53,0,0.0,93.47,0.0,0.0,0.0,0.3063089768292081,0.2342895072026981,0.9131319715583699,0.0,-0.03365237527132088,16.15,bad,10.6,2.17,0,bad
26602,28.5971604,77.2127947,44,3,24.31,0.0,24.31,0.54,5.8,6.34,0,0.0,69.35,0.48061049988632204,0.0,0.4033515845362536,0.28654710735635597,0.22747250775882172,0.592265685798474,0.0,0.15561690633675296,35.04,neutral,31.1,9.1,0,bad
16764,28.5234989,77.0490277,13,2,2.44,0.23,2.67,1.86,4.57,6.43,0,0.0,90.9,0.048238980654982555,0.01322979580097786,0.044300647088103544,0.22577935872733568,0.23070161275855264,0.878943482569857,0.0,-0.022033615197108364,17.31,bad,11.49,2.6,0,bad
21260,28.5576347,76.9958034,8,3,2.02,0.0,2.02,0.0,4.75,4.75,0,0.0,93.23,0.0399355495586331,0.0,0.03351584536253526,0.23467219999011912,0.170424986096909,0.9099392721975748,0.0,-0.03393637599048236,16.12,bad,9.66,2.22,0,bad
60403,28.8522808,77.2230302,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,9.52,bad,0.0,0.0,0,bad
56122,28.8199416,77.2291714,0,0,0.0,0.0,0.0,2.06,6.46,8.52,0,0.0,91.48,0.0,0.0,0.0,0.319154191986562,0.3056886066411926,0.886659172691778,0.0,-0.02550835813913388,16.96,bad,12.43,2.45,0,bad
51084,28.7822125,77.1472879,14,2,4.85,0.0,4.85,0.0,7.2,7.2,0,0.0,87.95,0.09588485908879728,0.0,0.08047121287539406,0.35571365051133846,0.2583283999784726,0.8396998862600852,0.0,0.014321815009354602,20.94,bad,16.19,3.88,0,bad
21658,28.5594313,77.3233375,2,5,0.73,0.0,0.73,0.24,3.26,3.5,0,0.0,95.77,0.014432154048416912,0.0,0.012112161937945912,0.1610592362037449,0.12557630554509086,0.9437286737659882,0.0,-0.05911591196288374,13.61,bad,6.26,1.36,0,bad
60729,28.855874,76.9159669,0,0,0.0,0.0,0.0,0.44,4.59,5.03,0,0.0,94.97,0.0,0.0,0.0,0.22676745220097824,0.1804710905405163,0.9330863425633384,0.0,-0.050269961899161296,14.49,bad,8.0,1.63,0,bad
6075,28.4426509,77.0920165,92,7,14.84,1.42,16.259999999999998,0.0,12.85,12.85,0,0.0,70.89,0.2933878987376808,0.08167960885821113,0.26978596316575415,0.6348500568153749,0.4610444360726907,0.6127521733635752,0.0,0.1818339666480422,37.66,neutral,35.87,9.36,1,good
3815,28.4264813,76.8504601,0,5,0.0,0.0,0.0,0.0,5.73,5.73,0,0.0,94.27,0.0,0.0,0.0,0.28308878019860684,0.20558635164953448,0.9237743027610196,0.0,-0.03963479566383421,15.55,bad,9.55,1.97,0,bad
22020,28.5630246,77.0899694,3,0,1.55,0.0,1.55,0.0,0.0,0.0,0,0.0,98.45,0.03064361476033728,0.0,0.025717604114816665,0.0,0.0,0.9793804832948656,0.0,-0.08770538422792057,10.75,bad,1.34,0.45,0,bad
13544,28.4983462,77.2783016,17,2,5.87,0.0,5.87,0.0,1.15,1.15,0,0.0,92.98,0.11605033460850311,0.0,0.09739505558320892,0.056815374734449885,0.041260786107672705,0.9066135436967466,0.0,-0.041323919643676876,15.38,bad,6.99,2.1,0,bad
